"Клиент ИмяФамилия (e-16292784), период 01.03.2023 - 27.06.2023"
"Всего";;"Ср.расход за день (руб.)";"Показы";"Клики";"Расход (руб.)";"Ср. позиция кликов";"Конверсии/Отправка формы «Детский Лагерь»";"Конверсии/Звонок Calltouch (М)";"Конверсии/Лагерь - заявка отправлена (страница спасибо) (М)";"Конверсии/Летний лагерь Академия лидеров небо";"Конверсии/Лагерь 2023";"Конверсии/Лагерь с проживанием"
"с 01.03.2023 по 27.06.2023";;11361,40;917727;12829;1170224,30;1,93;-;78;-;-;381;3

"Дата";"Кампания";"№ Кампании";"Группа";"№ Группы";"Тип устройства";"Показы";"Клики";"Расход (руб.)";"Ср. позиция кликов";"Конверсии/Отправка формы «Детский Лагерь»";"Конверсии/Звонок Calltouch (М)";"Конверсии/Лагерь - заявка отправлена (страница спасибо) (М)";"Конверсии/Летний лагерь Академия лидеров небо";"Конверсии/Лагерь 2023";"Конверсии/Лагерь с проживанием"
19.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"летний школьный лагерь дневного пребывания";5153889051;"мобильные";2;0;0,00;-;-;-;-;-;-;-
19.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"городской лагерь дневного";5153889052;"десктоп";1;0;0,00;-;-;-;-;-;-;-
19.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"городские лагеря дневного пребывания";5153889053;"десктоп";1;0;0,00;-;-;-;-;-;-;-
19.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"городские лагеря дневного пребывания";5153889053;"мобильные";1;1;51,68;1,00;-;-;-;-;-;-
19.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"детский лагерь в городе";5153889057;"мобильные";1;0;0,00;-;-;-;-;-;-;-
19.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь свао";5153889058;"мобильные";1;0;0,00;-;-;-;-;-;-;-
19.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"школьный лагерь дневного пребывания на летние каникулы";5153889059;"десктоп";2;1;79,35;1,00;-;-;-;-;-;-
19.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"дневной лагерь для школьников";5153889069;"мобильные";1;0;0,00;-;-;-;-;-;-;-
19.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"летний городской лагерь дневного";5153889075;"мобильные";1;0;0,00;-;-;-;-;-;-;-
19.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь юао";5153889076;"мобильные";1;0;0,00;-;-;-;-;-;-;-
19.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"дневной лагерь для школьников москва";5153889079;"мобильные";2;0;0,00;-;-;-;-;-;-;-
19.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь на выходные";5153889083;"мобильные";2;1;79,90;2,00;-;-;-;-;-;-
19.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"дневные лагеря в москве для детей";5153889090;"мобильные";1;0;0,00;-;-;-;-;-;-;-
19.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"направления лагерей дневного пребывания";5153889098;"десктоп";3;0;0,00;-;-;-;-;-;-;-
19.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"летние детский лагерь дневного пребывания";5153889100;"десктоп";2;0;0,00;-;-;-;-;-;-;-
19.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь без ночевки";5153889103;"мобильные";2;1;54,16;1,00;-;-;-;-;-;-
19.03.2023;"Лагерь в НЕБО | Поиск | ГЗ | 23";84885948;"лагерь небо";5153889104;"мобильные";1;0;0,00;-;-;-;-;-;-;-
19.03.2023;"Лагерь в НЕБО | Мастер | 23 – 1";84888494;"Лагерь в НЕБО | Мастер | 23 – 1";5153914217;"десктоп";158;3;0,00;-;-;-;-;-;-;-
19.03.2023;"Лагерь в НЕБО | Мастер | 23 – 1";84888494;"Лагерь в НЕБО | Мастер | 23 – 1";5153914217;"мобильные";239;10;0,00;-;-;-;-;-;-;-
